experiment_id,cell_id,learner,csl_variant,config,level,feature_set,split,split_strategy,split_seed,model_seed,deterministic_in_model_seed,R_train,R_eval,threshold_rule,threshold_selected_on,train_prevalence,val_prevalence,test_prevalence,train_n_positive,train_n_negative,val_n_positive,val_n_negative,test_n_positive,test_n_negative,n_train,fit_seconds,git_sha,git_dirty,python_version,sklearn_version,xgboost_version,timestamp_utc,pr_auc,roc_auc,brier,threshold,tp,fp,fn,tn,precision,recall,f1,mcc,n_flagged,alert_rate,R,ner,total_risk,recall_at_100,precision_at_100,recall_at_500,precision_at_500,recall_at_1000,precision_at_1000,recall_at_5000,precision_at_5000
E3_multiseed_multisplit,decision_tree__instance_weighted__split123__model123,decision_tree,instance_weighted,F,algorithm,no_origin_balance,val,stratified,123,123,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,41.34262079999826,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T17:31:15+00:00,0.7380688918101479,0.9801669015994916,0.022166104673588306,0.5242404341697693,1114,28817,118,924343,0.03721893688817614,0.9042207792207793,0.07149504219747778,0.18004814375776396,29931,0.03136132742101778,773.7010836478753,0.12601107979076565,120113.72787044925,0.08116883116883117,1.0,0.4034090909090909,0.994,0.6663961038961039,0.821,0.8262987012987013,0.2036
E3_multiseed_multisplit,decision_tree__instance_weighted__split123__model123,decision_tree,instance_weighted,F,algorithm,no_origin_balance,test,stratified,123,123,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,41.34262079999826,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T17:31:15+00:00,0.7453063365774166,0.9810765276623913,0.02218008840445158,0.5242404341697693,1113,28899,119,924263,0.03708516593362655,0.9034090909090909,0.07124567917040071,0.17962820154322942,30012,0.031446132310136064,773.7010836478753,0.1269087941439901,120969.42895409712,0.08116883116883117,1.0,0.4034090909090909,0.994,0.672077922077922,0.828,0.8295454545454546,0.2044
E3_multiseed_multisplit,decision_tree__instance_weighted__split123__model42,decision_tree,instance_weighted,F,algorithm,no_origin_balance,val,stratified,123,42,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,40.76660470000206,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T17:30:30+00:00,0.7380693531866641,0.9801672515972844,0.02216461363170776,0.5242404341697693,1114,28815,118,924345,0.0372214240368873,0.9042207792207793,0.07149963094894259,0.1800543970096793,29929,0.03135923184603392,773.7010836478753,0.12600898159463061,120111.72787044925,0.08116883116883117,1.0,0.4034090909090909,0.994,0.6663961038961039,0.821,0.8238636363636364,0.203
E3_multiseed_multisplit,decision_tree__instance_weighted__split123__model42,decision_tree,instance_weighted,F,algorithm,no_origin_balance,test,stratified,123,42,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,40.76660470000206,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T17:30:32+00:00,0.7452896104696469,0.9810738954460719,0.022192026875678224,0.5242404341697693,1113,28913,119,924249,0.03706787450875908,0.9034090909090909,0.07121376927506558,0.1795846584670902,30026,0.03146080130428314,773.7010836478753,0.12692348151693528,120983.42895409712,0.08116883116883117,1.0,0.4034090909090909,0.994,0.6737012987012987,0.83,0.8311688311688312,0.2048
E3_multiseed_multisplit,decision_tree__instance_weighted__split123__model456,decision_tree,instance_weighted,F,algorithm,no_origin_balance,val,stratified,123,456,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,37.044993200001045,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T17:31:54+00:00,0.7380618410313586,0.9801666239856707,0.022167522808924037,0.5242404341697693,1114,28818,118,924342,0.03721769343846051,0.9042207792207793,0.07149274804261327,0.1800450173637494,29932,0.031362375208509714,773.7010836478753,0.12601212888883317,120114.72787044925,0.08116883116883117,1.0,0.4025974025974026,0.992,0.6655844155844156,0.82,0.8238636363636364,0.203
E3_multiseed_multisplit,decision_tree__instance_weighted__split123__model456,decision_tree,instance_weighted,F,algorithm,no_origin_balance,test,stratified,123,456,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,37.044993200001045,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T17:31:56+00:00,0.7452949336791446,0.9810751757881089,0.02218626300904197,0.5242404341697693,1113,28906,119,924256,0.037076518205136744,0.9034090909090909,0.07122972064893923,0.17960642624783785,30019,0.031453466807209604,773.7010836478753,0.12691613783046268,120976.42895409712,0.08116883116883117,1.0,0.4034090909090909,0.994,0.6688311688311688,0.824,0.8295454545454546,0.2044
E3_multiseed_multisplit,decision_tree__instance_weighted__split123__model789,decision_tree,instance_weighted,F,algorithm,no_origin_balance,val,stratified,123,789,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,39.10720190000211,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T17:32:37+00:00,0.7380704350511278,0.9801676177750236,0.022162961963645023,0.5242404341697693,1114,28813,118,924347,0.0372239115180272,0.9042207792207793,0.07150422028948297,0.18006065088019527,29927,0.03135713627105005,773.7010836478753,0.12600688339849558,120109.72787044925,0.08116883116883117,1.0,0.4034090909090909,0.994,0.6655844155844156,0.82,0.827922077922078,0.204
E3_multiseed_multisplit,decision_tree__instance_weighted__split123__model789,decision_tree,instance_weighted,F,algorithm,no_origin_balance,test,stratified,123,789,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,39.10720190000211,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T17:32:37+00:00,0.7453022369433211,0.9810757901990032,0.022183448826641326,0.5242404341697693,1113,28903,119,924259,0.037080223880597014,0.9034090909090909,0.07123655913978495,0.17961575759687604,30016,0.03145032345132094,773.7010836478753,0.12691299053626015,120973.42895409712,0.08116883116883117,1.0,0.4025974025974026,0.992,0.6704545454545454,0.826,0.8303571428571429,0.2046
E3_multiseed_multisplit,decision_tree__instance_weighted__split42__model123,decision_tree,instance_weighted,F,algorithm,no_origin_balance,val,stratified,42,123,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,45.61893979999877,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T16:21:29+00:00,0.7525870411154459,0.980369140713351,0.02118709647144366,0.3630135953426361,1116,34825,116,918335,0.031050888956901588,0.9058441558441559,0.060043580017754825,0.16396031990949386,35941,0.03765853024752932,773.7010836478753,0.1306906843570119,124574.3257031535,0.08116883116883117,1.0,0.40584415584415584,1.0,0.6834415584415584,0.842,0.8311688311688312,0.2048
E3_multiseed_multisplit,decision_tree__instance_weighted__split42__model123,decision_tree,instance_weighted,F,algorithm,no_origin_balance,test,stratified,42,123,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,45.61893979999877,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T16:21:30+00:00,0.7153773031503265,0.9779755060374986,0.02115810043643879,0.3630135953426361,1101,34646,131,918516,0.03079978739474641,0.8936688311688312,0.059547310635766244,0.1621204165515996,35747,0.037455180983954214,773.7010836478753,0.14267822047825163,136000.84195787166,0.08116883116883117,1.0,0.4042207792207792,0.996,0.6663961038961039,0.821,0.801948051948052,0.1976
E3_multiseed_multisplit,decision_tree__instance_weighted__split42__model42,decision_tree,instance_weighted,F,algorithm,no_origin_balance,val,stratified,42,42,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,43.62598490000164,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T16:20:40+00:00,0.7525838460151063,0.9803687566525127,0.021188948300429677,0.3630135953426361,1116,34827,116,918333,0.03104916117185544,0.9058441558441559,0.06004034969737727,0.1639555409365667,35943,0.03766062582251318,773.7010836478753,0.13069278255314692,124576.3257031535,0.08116883116883117,1.0,0.40584415584415584,1.0,0.685064935064935,0.844,0.8303571428571429,0.2046
E3_multiseed_multisplit,decision_tree__instance_weighted__split42__model42,decision_tree,instance_weighted,F,algorithm,no_origin_balance,test,stratified,42,42,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,43.62598490000164,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T16:20:41+00:00,0.7153634575239174,0.9779733174914161,0.021167359561965676,0.3630135953426361,1101,34656,131,918506,0.0307911737561876,0.8936688311688312,0.05953121198194058,0.16209664382150674,35757,0.03746565883691641,773.7010836478753,0.14268871145892675,136010.84195787166,0.08116883116883117,1.0,0.4050324675324675,0.998,0.6647727272727273,0.819,0.801948051948052,0.1976
E3_multiseed_multisplit,decision_tree__instance_weighted__split42__model456,decision_tree,instance_weighted,F,algorithm,no_origin_balance,val,stratified,42,456,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,40.14707009999984,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T16:22:12+00:00,0.7525870411154459,0.980369140713351,0.02118709647144366,0.3630135953426361,1116,34825,116,918335,0.031050888956901588,0.9058441558441559,0.060043580017754825,0.16396031990949386,35941,0.03765853024752932,773.7010836478753,0.1306906843570119,124574.3257031535,0.08116883116883117,1.0,0.40584415584415584,1.0,0.6834415584415584,0.842,0.8311688311688312,0.2048
E3_multiseed_multisplit,decision_tree__instance_weighted__split42__model456,decision_tree,instance_weighted,F,algorithm,no_origin_balance,test,stratified,42,456,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,40.14707009999984,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T16:22:13+00:00,0.7153783667075635,0.9779757214858096,0.021157210968628687,0.3630135953426361,1101,34645,131,918517,0.030800649023666984,0.8936688311688312,0.059548920980042185,0.16212279436438715,35746,0.03745413319865799,773.7010836478753,0.1426771713801841,135999.84195787166,0.08116883116883117,1.0,0.4042207792207792,0.996,0.6672077922077922,0.822,0.801948051948052,0.1976
E3_multiseed_multisplit,decision_tree__instance_weighted__split42__model789,decision_tree,instance_weighted,F,algorithm,no_origin_balance,val,stratified,42,789,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,42.381910700001754,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T16:22:57+00:00,0.7525838460151063,0.9803687566525127,0.021188948300429677,0.3630135953426361,1116,34827,116,918333,0.03104916117185544,0.9058441558441559,0.06004034969737727,0.1639555409365667,35943,0.03766062582251318,773.7010836478753,0.13069278255314692,124576.3257031535,0.08116883116883117,1.0,0.40584415584415584,1.0,0.685064935064935,0.844,0.8303571428571429,0.2046
E3_multiseed_multisplit,decision_tree__instance_weighted__split42__model789,decision_tree,instance_weighted,F,algorithm,no_origin_balance,test,stratified,42,789,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,42.381910700001754,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T16:22:59+00:00,0.7153645174833139,0.9779735329397272,0.02116647009415557,0.3630135953426361,1101,34655,131,918507,0.030792034903233022,0.8936688311688312,0.059532821455607225,0.16209902065298187,35756,0.03746461105162019,773.7010836478753,0.14268766236085925,136009.84195787166,0.08116883116883117,1.0,0.4042207792207792,0.996,0.6655844155844156,0.82,0.801948051948052,0.1976
